"X","release_date","movie","production_budget","domestic_gross","worldwide_gross","distributor","mpaa_rating","genre"
688,"8/19/2016","Kubo and the Two Strings",55000000,48023088,77548564,"Focus Features","PG","Adventure"
689,"9/25/1998","Ronin",55000000,41610884,70692101,"MGM","R","Action"
690,"11/24/2010","Burlesque",55000000,39440655,90552675,"Sony Pictures","PG-13","Drama"
691,"10/11/1996","The Ghost and the Darkness",55000000,38564422,38564422,"Paramount Pictures","R","Action"
692,"7/27/2012","The Watch",55000000,34353000,67130045,"20th Century Fox","R","Comedy"
693,"6/4/1999","Instinct",55000000,34105207,34105207,"Walt Disney","R","Drama"
694,"12/12/2003","Stuck On You",55000000,33832741,63537164,"20th Century Fox","PG-13","Comedy"
695,"2/29/2008","Semi-Pro",55000000,33479698,43980363,"New Line","R","Comedy"
696,"10/16/2015","Crimson Peak",55000000,31090320,75466595,"Universal","R","Horror"
697,"4/27/2012","The Pirates! Band of Misfits",55000000,31051126,136143605,"Sony Pictures","PG","Adventure"
698,"12/2/2005","Aeon Flux",55000000,25857987,53913573,"Paramount Pictures","PG-13","Action"
699,"10/12/2007","Elizabeth: The Golden Age",55000000,16285240,74870866,"Universal","PG-13","Drama"
700,"6/12/2009","Imagine That",55000000,16222392,16222392,"Paramount Pictures","PG","Adventure"
701,"2/21/2003","Gods and Generals",55000000,12882934,12923936,"Warner Bros.","PG-13","Drama"
702,"2/1/2013","Bullet to the Head",55000000,9489829,22597969,"Warner Bros.","R","Action"
703,"9/22/2006","All the King's Men",55000000,7221458,9521458,"Sony Pictures","PG-13","Drama"
704,"7/30/2004","Thunderbirds",55000000,6768055,28231444,"Universal","PG","Adventure"
705,"11/26/2004","Un long dimanche de fiançailles",55000000,6167817,69759296,"Warner Bros.","R","Drama"
706,"5/4/2007","Lucky You",55000000,5755286,6521829,"Warner Bros.","PG-13","Drama"
707,"7/22/1998","Lolita",55000000,1147784,1147784,"MGM","R","Drama"
708,"6/19/1981","Superman II",54000000,108185706,108185706,"Warner Bros.","PG","Adventure"
709,"3/22/2002","Blade 2",54000000,81676888,154338601,"New Line","R","Action"
710,"7/14/2006","You, Me and Dupree",54000000,75802010,130402010,"Universal","PG-13","Comedy"
